GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jabberpoint,com.nhlstenden.factorypattern.core,SlideItemRegistry,27,14,4,0,5,4,3,2,1,2
jabberpoint,com.nhlstenden.jabberpoint.io,XMLPresentationIO,119,6,4,0,30,3,8,1,6,1
jabberpoint,com.nhlstenden.jabberpoint.core,DefaultPresentationData,10,84,3,9,3,26,4,14,1,11
jabberpoint,com.nhlstenden.factorypattern.creators,BitmapItemCreator,10,3,0,0,2,1,2,1,2,1
jabberpoint,com.nhlstenden.factorypattern.creators,TextItemCreator,10,3,0,0,2,1,2,1,2,1
jabberpoint,com.nhlstenden.commandpattern,NewPageCommand,0,8,0,0,0,4,0,2,0,2
jabberpoint,com.nhlstenden.commandpattern,GoToCommand,0,13,0,0,0,5,0,2,0,2
jabberpoint,com.nhlstenden.commandpattern,Command,0,6,0,0,0,3,0,1,0,1
jabberpoint,com.nhlstenden.commandpattern,SaveFileCommand,0,13,0,0,0,5,0,2,0,2
jabberpoint,com.nhlstenden.commandpattern,NextSlideCommand,0,8,0,0,0,4,0,2,0,2
jabberpoint,com.nhlstenden.commandpattern,KeyController,113,0,2,0,18,0,3,0,2,0
jabberpoint,com.nhlstenden.commandpattern,OpenFileCommand,0,13,0,0,0,5,0,2,0,2
jabberpoint,com.nhlstenden.commandpattern,Receiver,32,65,2,2,12,22,6,8,4,8
jabberpoint,com.nhlstenden.commandpattern,ExitCommand,8,0,0,0,4,0,2,0,2,0
jabberpoint,com.nhlstenden.commandpattern,PrevSlideCommand,0,8,0,0,0,4,0,2,0,2
jabberpoint,com.nhlstenden.commandpattern,MenuController,247,0,4,0,57,0,12,0,10,0
jabberpoint,com.nhlstenden.factorypattern,Style,16,94,1,1,2,16,2,4,1,4
jabberpoint,com.nhlstenden.factorypattern,Slide,6,132,0,2,1,28,1,10,1,9
jabberpoint,com.nhlstenden.factorypattern,SlideViewerFrame,58,0,0,0,14,0,2,0,2,0
jabberpoint,com.nhlstenden.factorypattern,SlideViewerComponent,120,0,6,0,30,0,8,0,5,0
jabberpoint,com.nhlstenden.factorypattern,SlideItemTypes,0,15,0,0,0,3,0,1,0,1
jabberpoint,com.nhlstenden.factorypattern,TextItem,14,229,5,11,4,42,7,9,2,6
jabberpoint,com.nhlstenden.factorypattern,BitmapItem,20,100,0,0,6,16,3,5,3,5
jabberpoint,com.nhlstenden.factorypattern,SlideItem,4,34,0,0,2,10,1,3,1,3
jabberpoint,com.nhlstenden.factorypattern,SlideItemFactory,5,20,1,2,2,4,1,3,0,2
jabberpoint,com.nhlstenden.factorypattern,SlideViewerFrame.new WindowAdapter() {...},6,0,0,0,3,0,2,0,2,0
jabberpoint,com.nhlstenden.jabberpoint,Presentation,30,97,4,6,9,30,7,13,3,12
jabberpoint,com.nhlstenden.jabberpoint,XMLAccessor,40,227,5,11,12,58,4,9,0,5
jabberpoint,com.nhlstenden.jabberpoint,JabberPoint,71,44,2,0,25,11,8,2,7,2
jabberpoint,com.nhlstenden.jabberpoint,Accessor,0,7,0,0,0,3,0,2,0,2
jabberpoint,com.nhlstenden.jabberpoint,AboutBox,9,0,0,0,3,0,2,0,2,0
jabberpoint,com.nhlstenden.jabberpoint,DemoPresentation,0,133,0,0,0,35,0,3,0,3
